Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
1936 Summer Olympics.,The tradition of people carrying the Olympic torch before the Olympic games began in 1936 during the Berlin Summer Olympics.,The tradition of people carrying the Olympic torch before the Olympic games began in 1928.,0.890455723,0,0.022537413,0.260869565,0.095238095,0.260869565,0.882162869,0,0,0.111111111,0,0.111111111
129 days,7.5,130 days,0.883418202,0,0,0,0,0,0.999392033,0,0.149534878,0.5,0,0.5
"one world, one dream","The theme for the 2008 Summer Olympics torch relay was ""one world, one dream"".","The theme for the torch relay was designed to protect the torch relay from scenes that marred it in the UK, France, and the US.",0.884099424,0,0.030206205,0.444444444,0.375,0.444444444,0.811065495,0,0,0,0,0
Journey of Harmony,"The organizers of the torch relay called it ""The Beijing Olympics.""","The organizers called it the ""Australian leg of the torch relay.""",0.818965495,0,0.018850319,0.142857143,0,0.142857143,0.822105169,0,0.018850319,0.142857143,0,0.142857143
"one world, one dream","""One world, two dreams""","""One world, two dreams"" was the slogan for the 2008 Olympics.",0.925056636,0,0.080342842,0.75,0.333333333,0.75,0.901899397,0,0.018850319,0.4,0.153846154,0.4
"Beijing, China.",The details of the torch relay were made known in the city where it took place.,"The details of the torch relay were made known in scenes that marred the relay in the UK, France and the US, the city government designed a complex security operative to protect the torch relay, involving 1200 police officers and 3000 other people, including public employees and volunteers.",0.860101819,0,0,0,0,0,0.840533495,0,0,0,0,0
Journey of Harmony,"The torch relay was referred to as ""The Beijing Olympics.""","The torch relay was referred to as ""the Beijing Games' Organizing Committee.""",0.816029906,0,0,0,0,0,0.812308431,0,0,0,0,0
"85,000 mi",20km,"85,000 miles",0.87864542,0,0,0,0,0,0.946160793,0,0.149534878,0.666666667,0.5,0.666666667
Mar-24,"The Olympic torch was lit on March 24, 2008.",The Olympic torch for the 2008 games was lit on March 24.,0.845973313,0,0.023980297,0.363636364,0.222222222,0.363636364,0.83575964,0,0.017033186,0.285714286,0.166666667,0.285714286
"Olympia, Greece",Olympics originated in Greece,Olympics originated in Greece,0.896123886,0,0.080342842,0.333333333,0,0.333333333,0.896123886,0,0.080342842,0.333333333,0,0.333333333
Mar-31,Mar-31,Mar-31,0.999999642,1,0.316227766,1,1,1,0.999999642,1,0.316227766,1,1,1
six,5,The torch visited six continents.,0.999224663,0,0,0,0,0,0.858981729,0,0.053728497,0.333333333,0,0.333333333
Silk Road,The torch was on the Silk Road to symbolize historic links between China and the world.,The Silk Road,0.83403784,0,0.026012784,0.222222222,0.125,0.222222222,0.890714943,0,0.240281141,0.8,0.666666667,0.8
"Olympia, Greece","Olympic torch was lit in Olympia, Greece on March 24.","Olympics were held in Athens, Greece",0.866631985,0,0.044632361,0.333333333,0.2,0.333333333,0.888067126,0,0.040824829,0.25,0,0.25
Mar-24,2008,Mar-24,0.895521283,0,0,0,0,0,0.999999762,1,0.316227766,1,1,1
Panathinaiko Stadium,The Panathinaiko Stadium,The name of the stadium in Greece where the torch was taken to is Panathinaiko Stadium.,0.923715115,0,0.240281141,0.8,0.666666667,0.8,0.863381386,0,0.012300686,0.222222222,0.125,0.222222222
March 31.,Mar-31,May-04,0.975237131,0,0.149534878,1,1,1,0.882551968,0,0,0,0,0
Mount Everest,Mount Everest,Mount Everest,1,1,0.316227766,1,1,1,1,1,0.316227766,1,1,1
hundreds,There were pro-Tibetan independence and pro-Human Rights supporters who protested against the torch relay.,The number of protesters was in the hundreds in San Francisco.,0.817717075,0,0,0,0,0,0.821694076,0,0.018850319,0.166666667,0,0.166666667
effectively none,1,The number of people protesting at the Pyongyang torch route was effectively none.,0.881603003,0,0,0,0,0,0.828707516,0,0.015537126,0.266666667,0.153846154,0.266666667
protesting,Sorry. I cannot find the answer based on the context.,Sorry. I cannot find the answer based on the context.,0.845019758,0,0,0,0,0,0.845019758,0,0,0,0,0
Chinese security officials,The Chinese ambassador.,Gordon Brown,0.879916728,0,0.113621937,0.333333333,0,0.333333333,0.825301588,0,0,0,0,0
