question,answers,modified_rag_retrieved_context,modified_rag_refined_answer,modified_rag_case,modified_rag_retrieval_time,modified_rag_generation_time,modified_rag_total_time,traditional_rag_retrieved_context,traditional_rag_refined_answer,traditional_rag_retrieval_time,traditional_rag_generation_time,traditional_rag_total_time
When did the tradition of people carrying the Olympic torch before the Olympic games begin?,1936 Summer Olympics.,"extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the
Olympic flame passed next to were the Parliament House, National Mosque, KL Tower and
Merdeka Stadium. A team of 1000 personnel from the Malaysian police Special Action Squad
guarded the event and escorted the torchbearers. The last time an Olympic torch relay was held in
2008_Summer_Olympics_torch_relay
one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,",The tradition of people carrying the Olympic torch before the Olympic games began in 1936 during the Berlin Summer Olympics.,Traditional RAG,2.78,6.62,9.4,"extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the

Olympic flame passed next to were the Parliament House, National Mosque, KL Tower and
Merdeka Stadium. A team of 1000 personnel from the Malaysian police Special Action Squad
guarded the event and escorted the torchbearers. The last time an Olympic torch relay was held in
2008_Summer_Olympics_torch_relay

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,",The tradition of people carrying the Olympic torch before the Olympic games began in 1928.,2.77,5.11,7.87
How many days did people carry the Olympic torch before the 2008 Summer Olympics?,129 days,"Answer: Kazakhstan.
Score: 0.82
Answer: The torch relay took place prior to the 2008 Summer Olympics.
Score: 0.81
Answer: The entire torch relay lasted for seven and a half hours.
Score: 0.81",7.5,Q-A Index,2.85,3.17,6.02,"torch carrier in March 2008 for its long-standing participation in the Olympic cause. The plane
traveled a total of 137,000 km (85,000 mi) for a duration of 130 days through 21 countries and
regions. Intended torchbearer Lin Hatfield Dodds withdrew from the event, explaining that she
wished to express concern about China\'s human rights record. Foreign Minister Stephen Smith said

extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first",130 days,2.69,3.2,5.89
What was the theme for the torch relay?,"one world, one dream","Answer: The theme of the 2008 Summer Olympics torch relay was ""one world, one dream"".
Score: 0.83
Answer: The Beijing Olympics.
Score: 0.81
Answer: The mayor of Buenos Aires, Mauricio Macri.
Score: 0.79","The theme for the 2008 Summer Olympics torch relay was ""one world, one dream"".",Q-A Index,2.77,5.44,8.21,"scenes that marred the relay in the UK, France and the US, the city government designed a
complex security operative to protect the torch relay, involving 1200 police officers and 3000 other
people, including public employees and volunteers. Overall, the protests were peaceful in nature,
although there were a few incidents such as the throwing of several water balloons in an attempt to

Australian leg of the torch relay April 24, 2008, touching the flame to light a cauldron after a run that
was only marginally marked by protests. People demonstrated both for China and for Tibet. At least
five people were arrested during the torch relay. Police said ""the five were arrested for interfering

2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent","The theme for the torch relay was designed to protect the torch relay from scenes that marred it in the UK, France, and the US.",2.76,7.03,9.79
What did the organizers of the torch relay call it?,Journey of Harmony,"Answer: The mayor of Buenos Aires, Mauricio Macri.
Score: 0.89
Answer: The torch relay took place in 2008.
Score: 0.87
Answer: The Beijing Olympics.
Score: 0.86","The organizers of the torch relay called it ""The Beijing Olympics.""",Q-A Index,2.72,4.42,7.14,"Australian leg of the torch relay April 24, 2008, touching the flame to light a cauldron after a run that
was only marginally marked by protests. People demonstrated both for China and for Tibet. At least
five people were arrested during the torch relay. Police said ""the five were arrested for interfering

2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first","The organizers called it the ""Australian leg of the torch relay.""",2.75,4.54,7.29
What was the 2008 Olympic slogan?,"one world, one dream","2008_Summer_Olympics_torch_relay
tank and the slogan ""One world, two dreams"". A university student and former RDHK radio host
Christina Chan wrapped the Tibetan snow lion flag around her body and later began waving it.
Several onlookers heckled Chan, shouting ""What kind of Chinese are you?"" and ""What a shame!"" In
improvements and universal suffrage. Onlookers were saying ""Aren\'t you Chinese?"" in Mandarin
putonghua as they tried to cover the orange banners with a large Chinese national flag. One woman
had an orange sign that said, ""Olympic flame for democracy"", while a man carried a poster with a
2008_Summer_Olympics_torch_relay
2008_Summer_Olympics_torch_relay
done peacefully."". Also, Australia\'s ACT Chief Minister, Jon Stanhope confirmed that the Chinese
embassy was closely involve to ensure that ""pro-China demonstrators vastly outnumbered Tibetan
activists."" Australian freestyle swimmer and five-time Olympic gold medalist Ian Thorpe ended the","""One world, two dreams""",Traditional RAG,2.67,3.7,6.37,"2008_Summer_Olympics_torch_relay
tank and the slogan ""One world, two dreams"". A university student and former RDHK radio host
Christina Chan wrapped the Tibetan snow lion flag around her body and later began waving it.
Several onlookers heckled Chan, shouting ""What kind of Chinese are you?"" and ""What a shame!"" In

improvements and universal suffrage. Onlookers were saying ""Aren\'t you Chinese?"" in Mandarin
putonghua as they tried to cover the orange banners with a large Chinese national flag. One woman
had an orange sign that said, ""Olympic flame for democracy"", while a man carried a poster with a
2008_Summer_Olympics_torch_relay

2008_Summer_Olympics_torch_relay
done peacefully."". Also, Australia\'s ACT Chief Minister, Jon Stanhope confirmed that the Chinese
embassy was closely involve to ensure that ""pro-China demonstrators vastly outnumbered Tibetan
activists."" Australian freestyle swimmer and five-time Olympic gold medalist Ian Thorpe ended the","""One world, two dreams"" was the slogan for the 2008 Olympics.",2.71,4.66,7.37
Where were the details of the torch relay made known?,"Beijing, China.","Answer: The torch relay took place in the city.
Score: 0.91
Answer: The torch relay took place in the city.
Score: 0.90
Answer: 2008 Summer Olympics.
Score: 0.90",The details of the torch relay were made known in the city where it took place.,Q-A Index,3.14,4.9,8.04,"scenes that marred the relay in the UK, France and the US, the city government designed a
complex security operative to protect the torch relay, involving 1200 police officers and 3000 other
people, including public employees and volunteers. Overall, the protests were peaceful in nature,
although there were a few incidents such as the throwing of several water balloons in an attempt to

Australian leg of the torch relay April 24, 2008, touching the flame to light a cauldron after a run that
was only marginally marked by protests. People demonstrated both for China and for Tibet. At least
five people were arrested during the torch relay. Police said ""the five were arrested for interfering

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,","The details of the torch relay were made known in scenes that marred the relay in the UK, France and the US, the city government designed a complex security operative to protect the torch relay, involving 1200 police officers and 3000 other people, including public employees and volunteers.",2.81,12,14.81
What was the torch relay referred to as by organizers?,Journey of Harmony,"Answer: The mayor of Buenos Aires, Mauricio Macri.
Score: 0.91
Answer: The torch relay took place in 2008.
Score: 0.87
Answer: The Beijing Olympics.
Score: 0.86","The torch relay was referred to as ""The Beijing Olympics.""",Q-A Index,2.97,4.37,7.34,"scenes that marred the relay in the UK, France and the US, the city government designed a
complex security operative to protect the torch relay, involving 1200 police officers and 3000 other
people, including public employees and volunteers. Overall, the protests were peaceful in nature,
although there were a few incidents such as the throwing of several water balloons in an attempt to

2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent

protests and bomb attacks, the torch relay in Pakistan took place in a stadium behind closed doors.
Although the relay was behind closed doors, thousands of policemen and soldiers guarded the
flame. As a consequence, no incidents arose. In June 2008, the Beijing Games\' Organizing
Committee announced that the planned international torch relay for the Paralympic Games had","The torch relay was referred to as ""the Beijing Games' Organizing Committee.""",3.03,5.01,8.04
How many miles was the Olympic torch relayed?,"85,000 mi","Answer: The total length of the torch relay route was 20 km.
Score: 0.88
Answer: The Eiffel Tower.
Score: 0.87
Answer: The torch relay took place prior to the 2008 Summer Olympics.
Score: 0.86",20km,Q-A Index,2.7,2.97,5.67,"Olympics, with the theme of ""one world, one dream"". Plans for the relay were announced on April
26, 2007, in Beijing, China. The relay, also called by the organizers as the ""Journey of Harmony"",
lasted 129 days and carried the torch 137,000 km (85,000 mi) - the longest distance of any Olympic
torch relay since the tradition was started ahead of the 1936 Summer Olympics. Vietnam: The event

and sabotaging the Beijing Olympic Games"". However, the Chinese media published articles about
crowds supporting the torch relay. , ' Russia: On April 5 the Olympic torch arrived at Saint
2008_Summer_Olympics_torch_relay
Petersburg, Russia. The length of the torch relay route in the city was 20 km, with the start at the

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first","85,000 miles",2.74,3.43,6.17
What day was the Olympic torch lit for the 2008 games?,Mar-24,"Answer: The 2008 Summer Olympics torch relay took place from March 24 until August 8, 2008.
Score: 0.85
Answer: Kazakhstan.
Score: 0.84
Answer: Despite calls to cancel the relay altogether, the relay took place as planned and did not result in any major incidents or disruptions.
Score: 0.80","The Olympic torch was lit on March 24, 2008.",Q-A Index,2.87,4.51,7.38,"2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first

extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the

landscape of a lovely city."" International Olympic Committee President Jacques Rogge said the San
Francisco relay had ""fortunately"" avoided much of the disruptions that marred the legs in London
and Paris, but ""was, however, not the joyous party that we had wished it to be. The 2008 Summer
Olympics torch relay was run from March 24 until August 8, 2008, prior to the 2008 Summer",The Olympic torch for the 2008 games was lit on March 24.,2.7,5.05,7.75
Where did the Olympics originate?,"Olympia, Greece","his decision to change the route in consultation with police chief Heather Fong. , ' Great Britain: The
torch relay leg held in London, the host city of the 2012 Summer Olympics, on April 6 began at
Wembley Stadium, passed through the City of London, and eventually ended at O2 Arena in the
eastern part of the city. The 48 km (30 mi) leg took a total of seven and a half hours to complete,
2008_Summer_Olympics_torch_relay
done peacefully."". Also, Australia\'s ACT Chief Minister, Jon Stanhope confirmed that the Chinese
embassy was closely involve to ensure that ""pro-China demonstrators vastly outnumbered Tibetan
activists."" Australian freestyle swimmer and five-time Olympic gold medalist Ian Thorpe ended the
2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first",Olympics originated in Greece,Traditional RAG,2.8,3.4,6.2,"his decision to change the route in consultation with police chief Heather Fong. , ' Great Britain: The
torch relay leg held in London, the host city of the 2012 Summer Olympics, on April 6 began at
Wembley Stadium, passed through the City of London, and eventually ended at O2 Arena in the
eastern part of the city. The 48 km (30 mi) leg took a total of seven and a half hours to complete,

2008_Summer_Olympics_torch_relay
done peacefully."". Also, Australia\'s ACT Chief Minister, Jon Stanhope confirmed that the Chinese
embassy was closely involve to ensure that ""pro-China demonstrators vastly outnumbered Tibetan
activists."" Australian freestyle swimmer and five-time Olympic gold medalist Ian Thorpe ended the

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first",Olympics originated in Greece,2.66,2.77,5.43
