Pipeline,Ground Truth Answer,Generated Answer,BLEU,SacreBLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Exact Match,BERT Precision,BERT Recall,BERT F1
LangChain MultiVector Retriever (English),1936 summer olympics.,the context does not provide information on when the tradition of people carrying the olympic torch before the olympic games began.,0.012042033681462784,0.017272237992167868,0.0,0.0,0.0,0.1724137931034483,0,0.037377841770648956,0.28971683979034424,0.15402007102966309
LangChain MultiVector Retriever (English),129 days,the olympic torch was carried for 137 days before the 2008 summer olympics.,0.01758542189440898,0.028398387225677894,0.13333333333333336,0.0,0.13333333333333336,0.15625000000000003,0,-0.219316765666008,0.4093915820121765,0.014108547009527683
LangChain MultiVector Retriever (English),"one world, one dream","the theme for the torch relay was one world, one dream.",0.2891784933232572,0.2891784933232572,0.5333333333333333,0.4615384615384615,0.5333333333333333,0.8586206896551724,0,0.34336164593696594,0.7382959127426147,0.5185283422470093
LangChain MultiVector Retriever (English),journey of harmony,the organizers of the torch relay called it an indoors ceremony.,0.020044994979069072,0.033864985683445356,0.14285714285714288,0.0,0.14285714285714288,0.12820512820512822,0,-0.03300558403134346,0.1916664093732834,0.07205933332443237
LangChain MultiVector Retriever (English),"one world, one dream","the 2008 olympic slogan was one world, one dream.",0.3508439695638686,0.3508439695638686,0.6153846153846153,0.5454545454545454,0.6153846153846153,0.8892857142857143,0,0.28704145550727844,0.7183370590209961,0.47519636154174805
LangChain MultiVector Retriever (English),"beijing, china.","the details of the torch relay were made known in the context of security concerns and at the request of the chinese embassy, leading to the cancellation of the relay through islamabad and its replacement with an indoors ceremony at jinnah stadium.",0.008030195177965396,0.009896324688555468,0.0,0.0,0.0,0.12500000000000003,0,-0.17645345628261566,0.189137801527977,-0.02064393274486065
LangChain MultiVector Retriever (English),journey of harmony,the torch relay was referred to as a journey of harmony by organizers.,0.09010288336595924,0.10571070857151538,0.375,0.2857142857142857,0.375,0.7181571815718159,0,0.21631576120853424,0.5819483399391174,0.3788500726222992
LangChain MultiVector Retriever (English),"85,000 mi","the olympic torch was relayed 85,000 miles.",0.028599617161713803,0.05522397783539471,0.36363636363636365,0.22222222222222224,0.36363636363636365,0.7211538461538463,0,0.19073908030986786,0.5709136128425598,0.3584683835506439
LangChain MultiVector Retriever (English),march 24,"the olympic torch for the 2008 games was lit on march 24, 2008.",0.03868052697542155,0.052559234208168874,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5681818181818182,0,0.026985444128513336,0.5920296311378479,0.25459182262420654
LangChain MultiVector Retriever (English),"olympia, greece","the olympics originated in olympia, greece.",0.16508103044554204,0.20556680845025987,0.5,0.33333333333333337,0.5,0.8412698412698413,0,0.32007861137390137,0.5261488556861877,0.418328195810318
LangChain MultiVector Retriever (English),march 31,the olympic torch reached beijing on march 31.,0.06321087140417253,0.09535414040914192,0.4,0.25,0.4,0.6944444444444445,0,0.0210715364664793,0.6245490312576294,0.2603601813316345
LangChain MultiVector Retriever (English),six,six continents.,0.07249749990681824,0.27516060407455223,0.6666666666666666,0.0,0.6666666666666666,0.4166666666666667,0,0.02109522558748722,0.19666744768619537,0.10592447221279144
LangChain MultiVector Retriever (English),silk road,the torch was on the silk road to symbolize historic links between china and the world.,0.034430441335820114,0.04573913556123801,0.2222222222222222,0.125,0.2222222222222222,0.5357142857142857,0,-0.04275578260421753,0.26452144980430603,0.0945018008351326
LangChain MultiVector Retriever (English),"olympia, greece",the olympic torch was lit at a park outside att park.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.16479213535785675,-0.04574756696820259,-0.10451061278581619
LangChain MultiVector Retriever (English),march 24,"the olympic torch was lit on march 30, 2008.",0.021598265052211615,0.03747776736677921,0.1818181818181818,0.0,0.1818181818181818,0.1724137931034483,0,0.13066896796226501,0.5755214691162109,0.3210214376449585
LangChain MultiVector Retriever (English),panathinaiko stadium,the context does not provide the name of the stadium in greece where the torch was taken to.,0.013609139615996616,0.020244462660665506,0.09999999999999999,0.0,0.09999999999999999,0.13513513513513514,0,-0.0788203552365303,0.04027576744556427,-0.018559530377388
LangChain MultiVector Retriever (English),march 31.,the olympic torch arrived in china on march 31.,0.12867201458772706,0.15619699684601282,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.7957957957957957,0,0.09864450991153717,0.6074272990226746,0.31028714776039124
LangChain MultiVector Retriever (English),mount everest,the context does not provide information about a mountain that the torch was taken up.,0.0,0.0,0.0,0.0,0.0,0.1470588235294118,0,-0.2890913486480713,-0.028565285727381706,-0.1727735996246338
LangChain MultiVector Retriever (English),hundreds,the context states that the protests in san francisco involved hundreds of people.,0.01758542189440898,0.028398387225677894,0.14285714285714288,0.0,0.14285714285714288,0.2173913043478261,0,-0.059735752642154694,0.13227418065071106,0.031811825931072235
LangChain MultiVector Retriever (English),effectively none,the context does not provide information about the number of people who protested at the pyongyang torch route.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3326437473297119,-0.24809345602989197,-0.2874896228313446
LangChain MultiVector Retriever (English),protesting,"some groups, including intended torchbearer bhaichung bhutia, were protesting against the prc's crackdown in tibet and standing by the people of tibet and their struggle. additionally, india rejected chinese demands to ban congregations near the torch route, emphasizing that a wholesale ban on protests was not possible in a democracy.",0.005433186420677938,0.006488583831481832,0.038461538461538464,0.0,0.038461538461538464,0.07575757575757577,0,-0.45779547095298767,0.18203109502792358,-0.2427806705236435
LangChain MultiVector Retriever (English),chinese security officials,the torch was not put out along the route it was flanked by motorcycles and uniformed police officers for protection.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.11096473783254623,-0.0628909096121788,-0.08315575867891312
LangChain MultiVector Retriever (English),the chinese government,xinhua condemned the various attacks on the torch relay route.,0.021598265052211615,0.03747776736677921,0.15384615384615383,0.0,0.15384615384615383,0.13157894736842107,0,-0.015116048976778984,-0.07611189782619476,-0.0423053614795208
LangChain MultiVector Retriever (English),supporters,the supporters had a larger presence than the protesters in san francisco.,0.018724372764461875,0.030890553181566974,0.15384615384615385,0.0,0.15384615384615385,0.22727272727272732,0,-0.16357362270355225,0.021440809592604637,-0.0753299742937088
LangChain MultiVector Retriever (English),counterprotesters,the counterprotesters overwhelmed the protesters in japan.,0.028599617161713803,0.05522397783539471,0.25,0.0,0.25,0.2941176470588236,0,0.07174000144004822,0.5079219937324524,0.2577967047691345
LangChain MultiVector Retriever (English),counterprotesters,thousands of prochina demonstrators amassed in large scale against protesters.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.02467525377869606,0.01999713107943535,0.0012147538363933563
LangChain MultiVector Retriever (English),skirmishes,"there were minor scuffles between olympic protesters and supporters from chinese immigrant communities. additionally, there were clashes between prochina demonstrators and both protibet and darfur protesters.",0.0,0.0,0.0,0.0,0.0,0.13157894736842107,0,-0.28814855217933655,0.08690110594034195,-0.13240109384059906
LangChain MultiVector Retriever (English),"latin america, africa, and western asia","latin america, africa, and western asia.",0.8633400213704505,0.8633400213704508,1.0,1.0,1.0,0.9866898148148149,0,0.9592807292938232,0.9724782705307007,0.9659945368766785
LangChain MultiVector Retriever (English),jacques rogge,the president of the international olympic committee is jacques rogge.,0.05190794196013298,0.07495553473355841,0.33333333333333337,0.19999999999999998,0.33333333333333337,0.646551724137931,0,0.1806468665599823,0.6415565013885498,0.3777070939540863
LangChain MultiVector Retriever (English),tibetan,athletes displaying tibetan flags at olympic venues faced the possibility of expulsion from the olympics.,0.01571523700545522,0.024455939372403628,0.125,0.0,0.125,0.20000000000000004,0,-0.14158116281032562,0.23228365182876587,0.017925484105944633
LangChain MultiVector Retriever (English),global relays,the ioc decided to no longer have global relays in subsequent olympics.,0.044249674106354955,0.06178110636313396,0.2857142857142857,0.16666666666666669,0.2857142857142857,0.6048387096774195,0,-0.14065717160701752,0.26480740308761597,0.029623450711369514
LangChain MultiVector Retriever (English),jacques rogge,jacques rogge,0.2213885886251307,1.0000000000000004,1.0,1.0,1.0,0.9375,1,1.0000004768371582,1.0000004768371582,1.0000004768371582
LangChain MultiVector Retriever (English),could be expelled,athletes displaying tibetan flags at olympic venues could be expelled from the games.,0.09010288336595924,0.10571070857151538,0.375,0.2857142857142857,0.375,0.7181571815718159,0,-0.07537061721086502,0.3396371603012085,0.09988904744386673
LangChain MultiVector Retriever (English),ioc members.,the context does not provide information about who specifically asked for the torch relay to be ended.,0.014238348381961592,0.021476912089159056,0.0,0.0,0.0,0.11111111111111113,0,-0.11292699724435806,0.10298853367567062,-0.011867569759488106
LangChain MultiVector Retriever (English),global relays,global relays were halted for future olympics.,0.07122722710132624,0.1104479556707894,0.4444444444444445,0.2857142857142857,0.4444444444444445,0.7211538461538463,0,0.08448577672243118,0.5548290610313416,0.28270038962364197
LangChain MultiVector Retriever (English),paralympic games,the international torch relay was canceled for the paralympic games in june 2008.,0.041263216881455095,0.05679677445135579,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5859375000000001,0,0.09229938685894012,0.5269528031349182,0.2782537043094635
