Ground Truth,Modified RAG Answer,Traditional RAG Answer,BLEU (Mod),SacreBLEU (Mod),METEOR (Mod),ROUGE-1 (Mod),ROUGE-2 (Mod),ROUGE-L (Mod),BERTScore (Mod),Exact Match (Mod),BLEU (Trad),SacreBLEU (Trad),METEOR (Trad),ROUGE-1 (Trad),ROUGE-2 (Trad),ROUGE-L (Trad),BERTScore (Trad),Exact Match (Trad)
استنبول,3 اپریل کو اولمپک مشعل کا ذکر موجود نہیں ہے۔,3 اپریل کو اولمپک مشعل بیجنگ میں تھی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6080054640769958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6210606098175049,0
سینسرشپ,چینی حکومت نے سنسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کی۔,چینی حکومت نے سنسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6606716513633728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606716513633728,0
الیکسینڈروس نکولائڈس,پہلے مشعل بردار کا نام لین لی ہے۔,2008 کے اولمپکس کے لئے پہلے مشعل بردار الیگزینڈر نیکولائیڈس تھے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6455037593841553,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6821974515914917,0
تائیوان,حکومت کی وضاحت موجود نہیں ہے۔,ویتنامی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نہیں تھی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6292468309402466,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6046221256256104,0
20,قازقستان میں روٹ کے لئے کلومیٹر میں فاصلہ فراہم نہیں کیا گیا۔,20 کلومیٹر۔,0.0,0.0,0.0,0.0,0.0,0.0,0.5479245185852051,0,0.06754436142034707,49.99999999999999,0.45454545454545453,1.0,0.0,1.0,0.6492959856987,0
کازاخستان,مشعل پہلی بار چین میں پہنچی۔,الماتی، قازقستان میں 2 اپریل کو۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6502866148948669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.684582531452179,0
آئی او سی ممبران,کس نے کہا کہ مشعل ریلے ختم کیا جائے؟ اس کا ذکر سیاق و سباق میں نہیں ہے۔,کمیٹی نے کہا کہ ریلے کو منسوخ کیا جا رہا ہے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6374812126159668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6489467620849609,0
21,21 مختلف جگہوں کا دورہ کیا۔,21 ممالک اور خطوں کا دورہ کیا۔,0.03759340464156993,8.116697886877475,0.33333333333333337,1.0,0.0,1.0,0.5955263376235962,0,0.03235934848975789,6.567274736060395,0.31250000000000006,1.0,0.0,1.0,0.5865299701690674,0
ایربس اے 330,ٹارچ ٹیم نے ایئر چائنا ایئربس اے 330 میں سفر کیا۔,ٹارچ ٹیم نے مینڈارن ایئر لائنز کی براہ راست چارٹرڈ پرواز پر سفر کیا۔,0.05190794196013298,7.495553473355842,0.49342105263157904,1.0,0.0,1.0,0.7329652905464172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.683149516582489,0
فرانسیسی جھنڈے,مظاہرین نے کچھ نہیں جلایا۔,کچھ مظاہرین نے آگ بجھانے والے آلات سے شعلہ بجھانے کی کوشش کی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.7076888084411621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666359305381775,0
مارچ 2008,مارچ 2008 میں ایئر چائنا کو اولمپک مشعل بردار کے طور پر منتخب کیا گیا۔,ایئر چائنا کو مارچ 2008 میں اولمپک مشعل بردار کے طور پر منتخب کیا گیا تھا۔,0.03868052697542155,5.255923420816887,0.5681818181818182,1.0,0.0,1.0,0.6468986868858337,0,0.036422694300114855,4.891187874480726,0.5514705882352943,1.0,0.0,1.0,0.6359110474586487,0
الماٹی,2 اپریل کو مشعل نے کسی کنواری سائٹ کا دورہ نہیں کیا۔,2 اپریل کو مشعل نے کسی کنواری سائٹ کا دورہ نہیں کیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6567676067352295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567676067352295,0
چھ,چھ براعظموں کا دورہ کیا۔,چھ براعظموں کا۔,0.0456496931223525,10.682175159905848,0.35714285714285715,0.0,0.0,0.0,0.7131029963493347,0,0.07249749990681824,27.516060407455225,0.4166666666666667,0.0,0.0,0.0,0.7260122299194336,0
کنمنگ,مخالف مظاہرین کو چینی جھنڈوں کے ساتھ Carrefour کی دکان میں داخل ہونے سے روکنے کا ذکر موجود نہیں ہے۔,کنمنگ میں۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6138944625854492,0,0.06754436142034707,49.99999999999999,0.45454545454545453,0.0,0.0,0.0,0.8360517621040344,0
پیپلز ڈیلی,پیپلز ڈیلی میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں۔,پیپلز ڈیلی میں ایک اداریہ میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں۔,0.027161021034885234,3.4544475984335747,0.4687500000000001,0.0,0.0,0.0,0.7200997471809387,0,0.02417000107767621,3.012378646187734,0.43604651162790703,0.0,0.0,0.0,0.7087568640708923,0
