query,ground_truth_answer,traditional_faithfulness,traditional_answer_relevancy,traditional_context_recall,traditional_context_precision,traditional_entity_recall,modified_faithfulness,modified_answer_relevancy,modified_context_recall,modified_context_precision,modified_entity_recall
3 اپریل کو اولمپک مشعل کس شہر میں تھی؟,استنبول,0.6473523378372192,0.6909053921699524,0.0,0.0,0.0,0.5129837393760681,0.818117618560791,0.0,0.0,0.0
چینی حکومت نے بائیکاٹ کی صورتحال کو کم کرنے کے لئے کس طریقہ کار کا استعمال کیا؟,سینسرشپ,0.665534257888794,0.8495545387268066,0.0,0.0,0.0,0.5613586902618408,0.5625971555709839,0.0,0.0,0.0
2008 کے اولمپکس کے لئے پہلے مشعل بردار کا نام کیا ہے؟,الیکسینڈروس نکولائڈس,0.20174258947372437,0.3697933256626129,0.0,0.0,0.0,0.08268086612224579,0.33663225173950195,0.0,0.0,0.0
کون سی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نہیں تھی؟,تائیوان,0.45018625259399414,0.6253496408462524,0.0,0.0,0.0,0.2497119903564453,0.7499659061431885,0.0,0.0,0.0
قازقستان میں روٹ کے لئے کلومیٹر میں فاصلہ کیا تھا؟,20,0.35326075553894043,0.6361494064331055,0.0,0.0,0.0,0.4936734437942505,0.6672353744506836,1.0,1.0,0.0
مشعل پہلی بار کس ملک میں پہنچی؟,کازاخستان,0.4263051152229309,0.6849290132522583,0.0,0.0,0.0,0.7252767086029053,0.6849290132522583,1.0,0.5,0.0
کس نے کہا کہ مشعل ریلے ختم کیا جائے؟,آئی او سی ممبران,0.3855740427970886,0.650693953037262,0.0,0.0,0.0,0.3578740358352661,0.46174418926239014,0.0,0.0,0.0
ٹارچ ٹیم کو لے جانے والے طیارے نے کتنی مختلف جگہوں کا دورہ کیا؟,21,0.6480240821838379,0.6713835000991821,0.0,0.0,0.0,0.6156715154647827,0.6713835000991821,0.0,0.0,0.0
ٹارچ ٹیم نے کس قسم کے طیارے میں سفر کیا؟,ایربس اے 330,0.5883674025535583,0.5884294509887695,0.0,0.0,0.0,0.5610871315002441,0.7263733148574829,0.0,0.0,0.0
کچھ مظاہرین نے کیا جلا دیا؟,فرانسیسی جھنڈے,0.7806147336959839,0.9210508465766907,0.0,0.0,0.0,0.3456076383590698,0.7218495011329651,0.0,0.0,0.0
یہ کب فیصلہ کیا گیا تھا کہ ایئر چائنا سرکاری مشعل بردار ہوگا؟,مارچ 2008,0.3903499245643616,0.5759410858154297,0.0,0.0,0.0,0.16259801387786865,0.29945239424705505,0.0,0.0,0.0
2 اپریل کو مشعل نے کس کنواری سائٹ کا دورہ کیا؟,الماٹی,0.1269822120666504,0.3494352102279663,0.0,0.0,0.0,0.12312091886997223,0.3517548739910126,0.0,0.0,0.0
مشعل نے کتنے براعظموں کا دورہ کیا؟,چھ,0.46496424078941345,0.8039337992668152,0.0,0.0,0.0,0.38495272397994995,0.7649921774864197,0.0,0.0,0.0
کہاں مخالف مظاہرین چینی جھنڈوں کے ساتھ ایک Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا؟,کنمنگ,0.4926337003707886,0.6578758955001831,0.0,0.0,0.0,0.5968495607376099,0.8694573640823364,0.0,0.0,0.0
کس اشاعت میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں؟,پیپلز ڈیلی,0.6361523270606995,0.6037696599960327,0.0,0.0,0.0,0.6884093880653381,0.806808352470398,0.0,0.0,0.0
اولمپکس کی ابتدا کہاں سے ہوئی؟,اولمپیا ، یونان,0.47326213121414185,0.6753596067428589,0.0,0.0,0.0,0.6495366096496582,0.5451056957244873,0.0,0.0,0.0
حفاظت کے لیے راستے میں مشعل کس نے بجھا دی؟,چینی سیکیورٹی عہدیداروں,0.761776328086853,0.43115609884262085,0.0,0.0,0.0,0.6547770500183105,0.7288064956665039,0.0,0.0,0.0
