title,context,question,answer
2008_Summer_Olympics_torch_relay,"ترکی: استنبول میں مشعل ریلے کا مرحلہ ، جو 3 اپریل کو منعقد ہوا ، سلطان احمد اسکوائر سے شروع ہوا اور تکسم اسکوائر میں ختم ہوا۔ ترکی میں رہنے والے ایغوروں نے سنکیانگ میں رہنے والے اپنے ہم وطنوں کے ساتھ چینی سلوک پر احتجاج کیا۔ ریلے کو روکنے کی کوشش کرنے والے کئی مظاہرین کو فوری طور پر پولیس نے گرفتار کرلیا۔",3 اپریل کو اولمپک مشعل کس شہر میں تھی؟,استنبول
2008_Summer_Olympics_torch_relay,"چین: چین میں ، مشعل کا سب سے پہلے پولیٹ بیورو اسٹینڈنگ کمیٹی کے ممبر زو یونگ کانگ اور اسٹیٹ کونسلر لیو یانڈونگ نے خیرمقدم کیا تھا۔ اس کے بعد اسے سی پی سی کے سیکرٹری جنرل ہو جنٹاؤ کو منتقل کیا گیا تھا۔ 1 مئی سے فرانسیسی ہائپر مارٹ کیریفور کا بائیکاٹ کرنے کا مطالبہ 12 اپریل سے ہفتے کے آخر میں چینیوں میں موبائل ٹیکسٹ میسجنگ اور آن لائن چیٹ رومز کے ذریعے پھیلنا شروع ہوا ، جس میں کمپنی کے بڑے شیئر ہولڈر ، ایل وی ایم ایچ گروپ پر دلا لاما کو فنڈز عطیہ کرنے کا الزام لگایا گیا۔ فرانسیسی عیش و آرام کی اشیاء اور کاسمیٹک مصنوعات کو شامل کرنے کے لئے بائیکاٹ کو بڑھانے کے بھی مطالبات تھے۔ 15 اپریل کو واشنگٹن ٹائمز کے مطابق ، تاہم ، چینی حکومت سینسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کر رہی تھی۔ کارفور کے بائیکاٹ سے متعلق مقبول انٹرنیٹ فورم سوہو ڈاٹ کام پر پوسٹ کردہ تمام تبصرے حذف کردیئے گئے ہیں۔ چینی مظاہرین نے کنمنگ ، ہیفی اور ووہان سمیت چین کے بڑے شہروں میں فرانسیسی ملکیت والے خوردہ چین کارفور کے بائیکاٹ کا اہتمام کیا ، فرانسیسی قوم پر علیحدگی پسند سازش اور چینی مخالف نسل پرستی کا الزام لگایا۔ کچھ نے فرانسیسی جھنڈے جلائے ، کچھ نے فرانسیسی جھنڈے میں نازیزم کا سواسٹیکا شامل کیا ، اور فرانسیسی قونصل خانوں اور سفارت خانے کے سامنے بڑے احتجاج کا مطالبہ کرتے ہوئے مختصر آن لائن پیغامات پھیلائے۔ کارفور بائیکاٹ کے خلاف مظاہرین نے کنمنگ میں کارفور اسٹورز میں سے ایک میں داخل ہونے پر اصرار کیا ، صرف اس کے لئے کہ بائیکاٹ کرنے والوں نے بڑے چینی جھنڈے اور پانی کی بوتلیں چلائیں۔ بی بی سی نے بتایا کہ بیجنگ ، ووہان ، چنگڈاؤ میں سینکڑوں لوگوں نے مارا۔",چینی حکومت نے بائیکاٹ کی صورتحال کو کم کرنے کے لئے کس طریقہ کار کا استعمال کیا؟,سینسرشپ
2008_Summer_Olympics_torch_relay,"یونان: 24 مارچ ، 2008 کو ، اولمپک شعلہ اولمپیا ، یونان ، قدیم اولمپک کھیلوں کے مقام پر روشن کیا گیا تھا۔ اداکارہ ماریا نفپلیٹو ، ایک اعلی کاہن کے کردار میں ، پہلی مشعل بردار ، 2004 کے موسم گرما کے اولمپکس میں تائیوانڈو میں چاندی کا تمغہ جیتنے والے یونان کے الیکسینڈروس نکولائڈس کی مشعل کو روشن کیا ، جس نے دوسری مشعل بردار ، خواتین کے بریسٹ اسٹروک میں اولمپک چیمپیئن چین کے لوو شوجوان کو مشعل سونپی۔ تبت میں حالیہ بدامنی کے بعد ، رابرٹ مینارڈ سمیت رپورٹرز وائرڈ بارڈرز کے تین ممبروں نے سیکیورٹی کی خلاف ورزی کی اور اولمپیا ، یونان میں مشعل روشن کرنے کی تقریب کے دوران بیجنگ کی اولمپک آرگنائزنگ کمیٹی کے سربراہ لیو کی کی تقریر میں خلل ڈالنے کی کوشش کی۔ عوامی جمہوریہ چین نے اسے اولمپکس کو خراب کرنے کی شرمناک کوشش قرار دیا۔ 30 مارچ 2008 کو ایتھنز میں ، بیجنگ کھیلوں کے منتظمین کو یونانی عہدیداروں سے مشعل کے حوالے کرنے کی تقریبات کے دوران ، مظاہرین نے 'آزاد تبت' کا نعرہ لگایا اور بینر کھولے۔ 15 مظاہرین میں سے 10 کو پولیس حراست میں لے لیا گیا۔ اس حوالے کے بعد ، احتجاج بین الاقوامی سطح پر جاری رہا ، خاص طور پر نیپال میں پولیس کے ساتھ پرتشدد تصادم۔",2008 کے اولمپکس کے لئے پہلے مشعل بردار کا نام کیا ہے؟,الیکسینڈروس نکولائڈس
2008_Summer_Olympics_torch_relay,"اس راستے نے مارچ 2008 سے مئی 2008 سے اگست 2008 تک چھ براعظموں کے ذریعے مشعل کو لے لیا۔ منصوبہ بند راستے میں اصل میں ہو چی منہ شہر اور ہانگ کانگ کے مابین تائی پے میں ایک اسٹاپ شامل تھا ، لیکن بیجنگ اور تائی پے میں اس بات پر اختلاف تھا کہ آیا یہ راستے کا بین الاقوامی یا گھریلو حصہ تھا یا نہیں۔ جبکہ چین اور چینی تائی پے کی اولمپک کمیٹیوں نے اس نقطہ نظر پر ابتدائی اتفاق رائے حاصل کیا ، تائیوان میں جمہوریہ چین کی حکومت نے مداخلت کرتے ہوئے کہا کہ اس جگہ کو تائیوان کو ہانگ کانگ اور مکاؤ کے برابر رکھنے کے طور پر سمجھا جاسکتا ہے ، جس پر اس نے اعتراض کیا۔ بیجنگ آرگنائزنگ کمیٹی نے مذاکرات جاری رکھنے کی کوشش کی ، لیکن تائیوان میں 24 کلومیٹر مشعل کے راستے پر جمہوریہ چین کے جھنڈے یا ترانے پر مزید تنازعات پیدا ہوئے۔ 21 ستمبر ، 2007 کو مذاکرات کے اختتام کے لئے آدھی رات کی آخری تاریخ تک ، تائیوان اور چین مشعل ریلے کے مسئلے پر سمجھوتہ کرنے سے قاصر تھے۔ آخر میں ، تائیوان آبنائے کے دونوں اطراف نے تائی پے ٹانگ کو ختم کرنے کا فیصلہ کیا۔",کون سی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نہیں تھی؟,تائیوان
2008_Summer_Olympics_torch_relay,"قازقستان: الماتی میں پہلا مشعل بردار ، جہاں 2 اپریل کو اولمپک مشعل پہلی بار پہنچی تھی ، قازقستان کے صدر نور سلطان نزاربیف تھے۔ یہ راستہ میڈیو اسٹیڈیم سے آستانہ اسکوائر تک 20 کلومیٹر کا تھا۔ ایسی اطلاعات تھیں کہ اویغور کارکنوں کو گرفتار کیا گیا تھا اور کچھ کو چین واپس بھیج دیا گیا تھا۔",قازقستان میں روٹ کے لئے کلومیٹر میں فاصلہ کیا تھا؟,20
2008_Summer_Olympics_torch_relay,"کازاخستان: الماتی میں پہلا مشعل بردار ، جہاں 2 اپریل کو اولمپک مشعل پہلی بار پہنچی تھی ، قازقستان کے صدر نور سلطان نزاربیف تھے۔ یہ راستہ میڈیو اسٹیڈیم سے آستانہ اسکوائر تک 20 کلومیٹر کا تھا۔ ایسی اطلاعات تھیں کہ اویغور کارکنوں کو گرفتار کیا گیا تھا اور کچھ کو چین واپس بھیج دیا گیا تھا۔",مشعل پہلی بار کس ملک میں پہنچی؟,کازاخستان
2008_Summer_Olympics_torch_relay,"مغربی یورپ اور شمالی امریکہ میں بے ترتیبی مشعل ریلے کی وجہ سے ، بین الاقوامی اولمپک کمیٹی کے صدر ، جیک روگ نے صورتحال کو تنظیم کے لئے بحران کے طور پر بیان کیا اور کہا کہ اولمپک مقامات پر تبتی جھنڈے دکھانے والے کسی بھی کھلاڑی کو کھیلوں سے نکال دیا جاسکتا ہے۔ اگرچہ وہ کچھ آئی او سی ممبران کی طرف سے ایسا کرنے کی کالوں کے باوجود ریلے کو مکمل طور پر منسوخ کرنے سے قاصر رہے۔ ریلے کے نتائج نے آئی او سی کے فیصلے پر اثر انداز کیا۔ کھیلوں کے مستقبل کے ایڈیشنوں میں عالمی ریلے کو ختم کرنا۔",کس نے کہا کہ مشعل ریلے ختم کیا جائے؟,آئی او سی ممبران
2008_Summer_Olympics_torch_relay,"بین الاقوامی سطح پر ، مشعل اور اس کے ہمراہ پارٹی نے اولمپک کھیلوں کے سرخ اور پیلے رنگوں میں پینٹ کردہ چارٹرڈ ایئر چائنا ایئربس اے 330 (رجسٹرڈ بی 6075) میں سفر کیا۔ ایئر چائنا کو بیجنگ اولمپک گیم کمیٹیوں نے مارچ 2008 میں اولمپک مقصد میں طویل عرصے سے شرکت کے لئے نامزد اولمپک مشعل بردار کے طور پر منتخب کیا تھا۔ طیارے نے 21 ممالک اور خطوں کے ذریعے 130 دن کی مدت کے لئے مجموعی طور پر 137،000 کلومیٹر (85،000 میل) کا سفر کیا۔",ٹارچ ٹیم کو لے جانے والے طیارے نے کتنی مختلف جگہوں کا دورہ کیا؟,21
2008_Summer_Olympics_torch_relay,"بین الاقوامی سطح پر ، مشعل اور اس کے ہمراہ پارٹی نے اولمپک کھیلوں کے سرخ اور پیلے رنگوں میں پینٹ کردہ چارٹرڈ ایئر چائنا ایربس اے 330 (رجسٹرڈ بی 6075) میں سفر کیا۔ ایئر چائنا کو بیجنگ اولمپک گیم کمیٹیوں نے مارچ 2008 میں اولمپک مقصد میں طویل عرصے سے شرکت کے لئے نامزد اولمپک مشعل بردار کے طور پر منتخب کیا تھا۔ طیارے نے 21 ممالک اور خطوں کے ذریعے 130 دن کی مدت کے لئے مجموعی طور پر 137،000 کلومیٹر (85،000 میل) کا سفر کیا۔",ٹارچ ٹیم نے کس قسم کے طیارے میں سفر کیا؟,ایربس اے 330
2008_Summer_Olympics_torch_relay,"چین: چین میں ، مشعل کا سب سے پہلے پولیٹ بیورو اسٹینڈنگ کمیٹی کے ممبر زو یونگ کانگ اور اسٹیٹ کونسلر لیو یانڈونگ نے خیرمقدم کیا تھا۔ اس کے بعد اسے سی پی سی کے سیکرٹری جنرل ہو جنٹاؤ کو منتقل کیا گیا تھا۔ 1 مئی سے فرانسیسی ہائپر مارٹ کیریفور کا بائیکاٹ کرنے کا مطالبہ 12 اپریل سے ہفتے کے آخر میں چینیوں میں موبائل ٹیکسٹ میسجنگ اور آن لائن چیٹ رومز کے ذریعے پھیلنا شروع ہوا ، جس میں کمپنی کے بڑے شیئر ہولڈر ، ایل وی ایم ایچ گروپ پر دلا لاما کو فنڈز عطیہ کرنے کا الزام لگایا گیا۔ فرانسیسی عیش و آرام کی اشیاء اور کاسمیٹک مصنوعات کو شامل کرنے کے لئے بائیکاٹ کو بڑھانے کے بھی مطالبات تھے۔ 15 اپریل کو واشنگٹن ٹائمز کے مطابق ، تاہم ، چینی حکومت سنسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کر رہی تھی۔ مشہور انٹرنیٹ فورم سوہو ڈاٹ کام پر کارفور کے بائیکاٹ سے متعلق تمام تبصرے حذف کردیئے گئے ہیں۔ چینی مظاہرین نے کنمنگ ، ہیفی اور ووہان سمیت چین کے بڑے شہروں میں فرانسیسی ملکیت والے خوردہ چین کارفور کے بائیکاٹ کا اہتمام کیا ، فرانسیسی قوم پر علیحدگی پسند سازش اور چینی مخالف نسل پرستی کا الزام لگایا۔ کچھ نے فرانسیسی جھنڈے جلائے ، کچھ نے فرانسیسی جھنڈے میں نازیزم کا سوستیکا شامل کیا ، اور فرانسیسی قونصل خانوں اور سفارت خانے کے سامنے بڑے احتجاج کا مطالبہ کرتے ہوئے مختصر آن لائن پیغامات پھیلائے۔ کارفور بائیکاٹ کے خلاف مظاہرین نے کنمنگ میں کارفور اسٹورز میں سے ایک میں داخل ہونے پر مظاہرہ کیا ، صرف چینی بائیکاٹ کرنے والوں نے بڑے جھنڈے اور پانی کی بوتلوں سے روک دیا۔ بی بی سی نے بتایا کہ بیجنگ ، ووہان ، چنگڈاؤ میں سینکڑوں لوگوں نے اس پر اصرار کیا۔",کچھ مظاہرین نے کیا جلا دیا؟,فرانسیسی جھنڈے
