chunk,question,answer
1,29 مئی 2008 کو سرکاری عہدے داروں نے کیا کام شروع کیا؟,سرکاری عہدے داروں نے ہزاروں گرے ہوئے اسکولوں کے کھنڈرات کا معائنہ کرنا شروع کیا۔
1,زلزلے کے بعد دیگر عمارتوں کو کیا نقصان پہنچا؟,زلزلے کے بعد دیگر عمارتوں کو بہت کم نقصان پہنچا تھا۔
1,مقامی عہدے داروں نے والدین کے احتجاج کے باوجود کیا کہا؟,مقامی عہدے داروں نے انہیں احتجاج نہ کرنے کی تاکید کی۔
1,والدین نے 17 جولائی 2008 تک کس چیز کی شکایت کی؟,والدین نے شکایت کی کہ انہیں ابھی تک کوئی رپورٹ موصول نہیں ہوئی۔
1,17 جولائی 2008 تک کیا وعدہ کیا گیا تھا؟,بہت سی مقامی حکومتوں نے سرکاری طور پر اسکول کے گرنے کی تحقیقات کرنے کا وعدہ کیا تھا۔
2,سینسرز نے بد ساختہ اسکولوں کی کہانیوں کو میڈیا میں شائع کرنے سے کیا روکا؟,سینسرز نے بد ساختہ اسکولوں کی کہانیوں کو میڈیا میں شائع کرنے سے روکا۔
2,پولیس نے مظاہرین کے ساتھ کیا کیا؟,پولیس نے مظاہرین کو دور کر دیا۔
2,والدین اور رضا کاروں نے حکام سے کیا سوال کیا؟,والدین اور رضا کاروں نے حکام سے سوال کیا کہ انہیں حراست میں لیا گیا ہے اور دھمکی دی گئی ہے۔
2,چینی حکومت نے زلزلے کے جواب میں کیا کیا؟,چینی حکومت نے ابتدائی طور پر زلزلے کے جواب کے لیے سراہا گیا تھا خاص طور پر میاںمار کے حکمران فوجی جنرلس کے سائیکلوں کی دوران امداد کی ناکہ بندی کے مقابلے میں۔
2,اسکول کی تعمیر کے اسکیندل پر اعتماد میں کیا کمی دیکھی گئی؟,اسکول کی تعمیر کے اسکیندل پر اعتماد میں کمی دیکھی گئی۔
3,15 مئی 2008 کو کس ویب سائٹ نے خراب طریقے سے تعمیر شدہ عمارتوں کے بارے میں اطلاع دی؟,گلوب انڈ میل ڈاٹ کام نے خراب طریقے سے تعمیر شدہ عمارتوں کے بارے میں اطلاع دی۔
3,خراب تعمیر شدہ عمارتوں کو عام طور پر کیا کہا جاتا ہے؟,خراب تعمیر شدہ عمارتوں کو عام طور پر نوفو عمارتیں کہا جاتا ہے۔
3,تعمیرات میں کنکریٹ کی دوبارہ تقویت کے لیے کیا استعمال کیا جاتا ہے؟,تعمیرات میں کنکریٹ کی دوبارہ تقویت کے لیے اسٹیل کی سلاخوں کو ٹھیک لوہے کی تاروں سے تبدیل کیا جاتا ہے۔
